Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
11379,0.001384447,0.505323155,37991,3.15%,39188,3.15%,0.521240834,4.90%,41108,4.90%,0.546781635,4.90%,43122,4.90%,0.573573935,4.90%,45235,4.90%,0.601679058,4.90%,47452,4.90%,0.631161332,4.90%,49777,4.90%,0.662088237,4.90%,52216,4.90%,0.694530561,4.90%,54774,4.90%,0.728562558
11385,0.006223659,2.271635535,107796,3.15%,111192,3.15%,2.343192054,4.90%,116640,4.90%,2.458008465,4.90%,122355,4.90%,2.57845088,4.90%,128351,4.90%,2.704794973,4.90%,134640,4.90%,2.837329927,4.90%,141237,4.90%,2.976359093,4.90%,148158,4.90%,3.122200689,4.90%,155418,4.90%,3.275188522
11412,0.000135477,0.049449105,37857,3.15%,39049,3.15%,0.051006752,4.90%,40963,4.90%,0.053506083,4.90%,42970,4.90%,0.056127881,4.90%,45076,4.90%,0.058878147,4.90%,47284,4.90%,0.061763176,4.90%,49601,4.90%,0.064789572,4.90%,52032,4.90%,0.067964261,4.90%,54581,4.90%,0.071294509
11413,0.000644515,0.235247975,41650,3.15%,42962,3.15%,0.242658286,4.90%,45067,4.90%,0.254548542,4.90%,47275,4.90%,0.267021421,4.90%,49592,4.90%,0.28010547,4.90%,52022,4.90%,0.293830638,4.90%,54571,4.90%,0.30822834,4.90%,57245,4.90%,0.323331528,4.90%,60050,4.90%,0.339174773
11414,0.004026985,1.469849525,28313,3.15%,29205,3.15%,1.516149785,4.90%,30636,4.90%,1.590441125,4.90%,32137,4.90%,1.66837274,4.90%,33712,4.90%,1.750123004,4.90%,35364,4.90%,1.835879031,4.90%,37096,4.90%,1.925837104,4.90%,38914,4.90%,2.020203122,4.90%,40821,4.90%,2.119193075
11415,0.010042563,3.665535495,18891,3.15%,19486,3.15%,3.780999863,4.90%,20441,4.90%,3.966268856,4.90%,21442,4.90%,4.16061603,4.90%,22493,4.90%,4.364486216,4.90%,23595,4.90%,4.57834604,4.90%,24752,4.90%,4.802684996,4.90%,25964,4.90%,5.038016561,4.90%,27237,4.90%,5.284879373
11416,0.000383503,0.139978595,26744,3.15%,27586,3.15%,0.144387921,4.90%,28938,4.90%,0.151462929,4.90%,30356,4.90%,0.158884612,4.90%,31844,4.90%,0.166669958,4.90%,33404,4.90%,0.174836786,4.90%,35041,4.90%,0.183403789,4.90%,36758,4.90%,0.192390575,4.90%,38559,4.90%,0.201817713
11417,0.000738738,0.26963937,31321,3.15%,32308,3.15%,0.27813301,4.90%,33891,4.90%,0.291761528,4.90%,35551,4.90%,0.306057843,4.90%,37293,4.90%,0.321054677,4.90%,39121,4.90%,0.336786356,4.90%,41038,4.90%,0.353288887,4.90%,43048,4.90%,0.370600043,4.90%,45158,4.90%,0.388759445
11418,0.00614368,2.2424432,38405,3.15%,39615,3.15%,2.313080161,4.90%,41556,4.90%,2.426421089,4.90%,43592,4.90%,2.545315722,4.90%,45728,4.90%,2.670036192,4.90%,47969,4.90%,2.800867966,4.90%,50319,4.90%,2.938110496,4.90%,52785,4.90%,3.08207791,4.90%,55371,4.90%,3.233099728
11419,0.004299434,1.56929341,48369,3.15%,49893,3.15%,1.618726152,4.90%,52337,4.90%,1.698043734,4.90%,54902,4.90%,1.781247877,4.90%,57592,4.90%,1.868529023,4.90%,60414,4.90%,1.960086945,4.90%,63374,4.90%,2.056131205,4.90%,66480,4.90%,2.156881634,4.90%,69737,4.90%,2.262568834
